# latex scheme: conventional LaTeX + AMS macro names.
# Generated by scripts/update-latex-symbols.py from https://www.w3.org/Math/characters/unicode.xml
# W3C XML Entity Definitions for Characters (W3C license).
# Columns: name<TAB>codepoint(hex)[ ...]<TAB>description
looparrowleft	21AB	LEFTWARDS ARROW WITH LOOP
looparrowright	21AC	RIGHTWARDS ARROW WITH LOOP
lowint	2A1C	INTEGRAL WITH UNDERBAR
lozenge	25CA	LOZENGE
lq	2018	LEFT SINGLE QUOTATION MARK
lrcorner	231F	BOTTOM RIGHT CORNER
ltimes	22C9	LEFT NORMAL FACTOR SEMIDIRECT PRODUCT
male	2642	MALE SIGN
maltese	2720	MALTESE CROSS
mapsto	21A6	RIGHTWARDS ARROW FROM BAR
measuredangle	2221	MEASURED ANGLE
mercury	263F	MERCURY
mho	2127	INVERTED OHM SIGN
mid	2223	DIVIDES
minus	2212	MINUS SIGN
minusdot	2A2A	MINUS SIGN WITH DOT BELOW
mlcp	2ADB	TRANSVERSAL INTERSECTION
models	22A7	MODELS
